EPC1,EPC2,EPC3,Usage,Payment,Calls,Region,Age
46,58,29,0.92,0,2,South,27
52,57,39,0.9,0,1,Center,29
48,51,41,0.86,0,2,Center,26
47,59,45,0.92,0,2,South,15
54,54,30,0.89,0,2,South,22
52,61,34,0.91,0,1,Center,14
45,49,31,0.94,0,2,Center,22
55,53,40,0.93,0,1,Center,16
46,60,38,0.87,0,2,South,28
47,56,32,0.89,0,2,South,20
41,57,45,0.9,0,2,Center,21
45,46,44,0.9,0,1,South,22
53,54,31,0.95,0,1,North,19
43,55,39,0.9,0,1,Center,29
52,57,39,0.91,0,1,North,14
53,56,31,0.94,0,1,South,23
49,59,35,0.95,0,1,North,14
48,50,42,0.9,0,1,South,19
47,62,41,0.9,0,1,South,26
41,50,39,0.86,0,1,South,25
46,45,39,0.86,0,1,South,26
51,62,34,0.89,0,1,Center,15
48,59,42,0.86,0,1,North,26
49,50,32,0.9,0,1,South,14
42,60,39,0.92,0,1,Center,26
42,55,37,0.89,0,1,South,17
42,52,30,0.94,0,1,Center,18
43,58,36,0.91,0,1,North,21
50,51,32,0.9,0,1,North,27
48,62,32,0.89,0,1,Center,14
44,55,32,0.85,0,1,North,17
44,59,37,0.87,0,1,North,13
46,49,35,0.85,0,1,Center,12
48,48,41,0.88,0,1,North,22
47,59,36,0.93,0,1,South,26
52,58,32,0.91,0,1,Center,14
49,53,42,0.94,0,1,North,23
48,58,42,0.92,0,1,South,29
42,47,34,0.86,0,1,North,20
47,62,30,0.87,0,1,North,14
50,51,39,0.87,0,1,North,28
54,60,30,0.91,0,1,South,15
40,54,30,0.88,0,1,Center,17
46,54,32,0.88,0,1,North,12
43,54,36,0.93,0,1,North,14
46,55,33,0.94,0,1,South,16
45,56,35,0.9,0,1,Center,21
51,60,32,0.89,0,1,South,26
45,52,39,0.87,0,1,North,28
47,48,38,0.92,0,1,North,26
48,47,32,0.89,0,1,Center,25
41,57,44,0.92,0,1,South,15
46,49,31,0.89,0,1,Center,27
45,60,30,0.88,0,1,South,29
39,62,41,0.93,0,1,South,16
46,56,37,0.89,0,1,South,19
40,46,29,0.9,0,1,Center,17
39,46,45,0.9,0,1,North,21
49,58,32,0.9,0,1,North,15
55,54,36,0.95,0,1,North,17
44,47,45,0.86,0,1,South,28
47,59,29,0.88,0,1,South,18
49,49,39,0.93,0,1,North,14
47,46,35,0.9,0,1,North,15
47,58,35,0.85,0,1,South,17
49,45,37,0.88,0,1,South,28
51,62,40,0.86,0,1,Center,17
45,51,42,0.87,0,1,Center,23
44,46,34,0.94,0,1,Center,17
47,51,43,0.95,0,1,South,24
51,55,32,0.86,0,1,South,16
49,52,33,0.88,0,1,Center,19
42,61,43,0.95,0,1,Center,19
39,56,32,0.85,0,1,Center,19
53,48,31,0.93,0,2,Center,21
48,55,42,0.92,0,1,Center,22
40,56,38,0.89,0,2,North,26
40,61,35,0.89,0,2,North,12
51,48,42,0.92,0,1,North,28
48,52,33,0.88,0,2,North,22
41,54,31,0.9,0,1,South,17
51,60,35,0.88,0,1,South,12
51,47,45,0.87,0,2,South,13
49,47,37,0.88,0,1,South,18
48,58,40,0.86,0,1,Center,29
46,58,42,0.89,0,2,Center,18
46,51,31,0.92,0,1,North,14
46,48,41,0.95,0,2,North,13
54,45,32,0.86,0,2,South,14
54,46,40,0.89,0,1,South,26
41,46,43,0.91,0,1,North,29
40,47,39,0.95,0,1,Center,18
40,51,42,0.93,0,1,North,27
42,60,42,0.92,0,2,South,22
40,56,34,0.92,0,2,Center,30
48,62,31,0.87,0,1,Center,30
39,58,37,0.86,0,2,South,30
53,65,43,0.76,0,2,North,48
50,65,54,0.79,0,2,Center,41
46,50,42,0.75,0,1,North,30
52,47,36,0.8,0,1,South,30
50,47,34,0.7,0,1,North,30
39,45,37,0.77,0,1,North,30
45,62,30,0.16,0,2,North,48
62,59,45,0.19,0,3,North,41
43,59,41,0.13,0,3,Center,35
50,63,36,0.15,1,3,North,44
64,57,29,0.19,1,3,North,32
49,55,34,0.18,0,2,North,38
41,58,37,0.14,0,2,North,47
47,60,22,0.13,1,3,North,46
59,62,42,0.14,0,3,North,33
67,55,26,0.12,0,3,North,46
57,61,35,0.1,1,3,North,30
55,62,42,0.15,0,2,North,34
45,56,29,0.15,1,2,North,36
57,56,33,0.19,0,2,North,31
60,59,24,0.15,0,2,North,30
41,61,45,0.18,1,3,South,34
63,58,43,0.17,0,3,North,32
57,56,28,0.11,1,2,North,48
66,60,39,0.11,1,3,North,46
45,58,42,0.19,0,2,North,31
47,55,22,0.19,0,2,North,35
50,51,42,0.78,0,1,North,42
66,52,55,0.79,0,2,Center,48
51,51,33,0.77,0,1,North,37
57,49,54,0.74,0,2,North,34
56,63,45,0.79,0,2,North,32
51,55,39,0.78,0,2,North,34
55,64,42,0.78,0,2,South,36
64,52,51,0.79,0,2,North,34
57,59,39,0.71,0,1,Center,42
45,57,45,0.76,0,1,South,30
76,47,39,0.72,0,2,Center,34
48,50,46,0.71,0,1,Center,43
73,46,41,0.75,0,2,South,41
65,45,27,0.77,0,2,Center,37
46,61,40,0.77,0,2,Center,42
47,56,41,0.78,0,1,Center,40
48,56,53,0.77,0,1,South,36
60,55,31,0.72,0,2,South,45
67,51,37,0.74,0,1,Center,35
74,49,22,0.79,0,2,South,36
44,46,41,0.76,0,1,Center,44
67,52,35,0.73,0,2,South,35
49,50,32,0.75,0,2,North,39
56,56,30,0.79,0,2,Center,32
45,54,26,0.78,0,1,North,38
68,51,45,0.75,0,1,North,39
43,58,31,0.79,0,2,South,44
46,59,43,0.75,0,1,South,37
52,57,55,0.74,0,2,Center,30
65,60,43,0.7,0,2,Center,40
46,49,45,0.74,0,1,North,31
48,60,32,0.77,0,2,North,35
54,55,31,0.77,0,2,North,47
40,46,31,0.78,0,2,South,43
51,54,43,0.71,0,1,South,45
39,55,44,0.77,0,2,South,45
41,51,42,0.71,0,2,Center,48
42,48,33,0.71,0,2,North,41
46,50,33,0.74,0,1,South,44
53,53,29,0.73,0,2,North,36
45,56,36,0.73,0,2,North,32
50,46,34,0.75,0,1,Center,34
41,57,44,0.74,0,1,South,40
47,55,45,0.77,0,2,North,37
45,60,37,0.76,0,1,South,41
55,62,39,0.74,0,2,Center,32
45,50,44,0.75,0,1,South,37
43,60,41,0.73,0,2,Center,46
42,49,30,0.76,0,2,South,36
54,59,32,0.75,0,1,Center,48
53,50,35,0.78,0,2,South,34
49,49,40,0.73,0,2,North,36
53,55,45,0.73,0,2,South,33
53,52,33,0.77,0,2,South,47
53,48,40,0.72,0,1,South,44
50,58,29,0.74,0,1,South,36
47,48,33,0.77,0,2,North,36
40,56,43,0.79,0,1,Center,32
43,49,44,0.74,0,1,Center,40
45,46,31,0.75,0,1,North,45
43,50,35,0.78,0,1,North,36
46,58,29,0.71,0,2,South,44
44,46,43,0.77,0,2,North,39
39,51,44,0.72,0,2,Center,45
41,53,33,0.75,0,1,North,46
40,49,37,0.8,0,1,Center,42
40,50,33,0.79,0,1,North,42
42,55,43,0.71,0,1,South,30
47,45,35,0.77,0,2,Center,41
45,45,30,0.79,0,1,North,46
53,48,44,0.78,0,2,North,37
50,50,29,0.79,0,2,South,34
40,47,35,0.79,0,1,North,39
46,57,44,0.77,0,2,Center,32
54,49,41,0.79,0,1,Center,45
48,52,39,0.73,0,2,North,37
52,51,35,0.71,0,2,South,38
53,54,44,0.77,0,1,South,37
52,52,40,0.77,0,1,South,30
50,50,44,0.71,0,1,South,43
43,59,29,0.78,0,1,Center,32
44,49,39,0.72,0,1,North,46
47,59,30,0.73,0,1,North,35
53,51,34,0.76,0,1,Center,41
52,53,45,0.7,0,1,North,44
55,48,40,0.76,0,1,Center,32
52,46,31,0.72,0,1,South,48
51,61,38,0.71,0,1,Center,47
46,55,36,0.75,0,1,North,35
44,52,33,0.71,0,1,Center,37
54,60,40,0.76,0,1,North,39
44,50,38,0.79,0,1,Center,39
40,61,40,0.71,0,1,Center,46
40,58,34,0.78,0,1,North,37
47,56,30,0.8,0,1,North,44
53,59,39,0.78,0,1,South,47
54,62,39,0.77,0,1,North,36
41,57,36,0.77,0,1,Center,42
52,48,36,0.78,0,1,South,35
40,45,35,0.77,0,1,South,39
45,52,33,0.79,0,1,Center,37
55,58,45,0.73,0,1,Center,33
50,45,32,0.77,0,1,Center,47
53,62,41,0.7,0,1,North,43
46,57,34,0.73,0,1,North,41
50,45,42,0.76,0,1,North,47
47,54,42,0.77,0,1,Center,36
42,57,34,0.75,0,1,North,40
44,55,29,0.74,0,1,Center,44
53,46,37,0.78,0,1,Center,36
47,55,30,0.78,0,1,North,43
42,58,41,0.75,1,1,South,43
53,45,34,0.72,0,1,South,39
52,59,35,0.77,0,1,South,31
39,51,35,0.73,0,1,Center,32
43,55,39,0.73,0,1,South,30
55,59,38,0.73,0,1,North,47
46,48,40,0.75,0,1,Center,40
55,47,43,0.73,0,1,South,33
46,56,37,0.74,0,1,South,39
55,58,33,0.77,0,1,Center,46
45,56,33,0.79,0,1,North,39
55,56,30,0.77,0,1,Center,40
41,49,35,0.8,0,1,South,43
50,62,40,0.79,0,1,North,45
55,50,37,0.75,0,1,South,47
40,45,42,0.74,0,1,North,32
53,60,29,0.74,0,1,Center,44
44,55,45,0.72,0,1,South,37
52,62,35,0.72,0,1,North,38
47,49,33,0.78,0,1,North,41
50,50,35,0.8,0,1,South,34
55,62,45,0.8,0,1,North,37
52,59,43,0.73,0,1,South,30
45,55,44,0.76,0,1,North,35
42,56,38,0.71,0,1,South,33
46,61,43,0.72,0,1,South,35
45,60,29,0.8,0,1,Center,37
44,54,41,0.71,0,1,Center,46
45,56,34,0.78,0,1,South,40
50,62,34,0.77,0,1,South,43
46,56,43,0.7,0,1,Center,31
45,49,37,0.76,0,1,Center,48
42,61,30,0.78,0,2,South,48
53,55,34,0.79,0,1,North,35
50,47,29,0.79,0,2,North,32
45,60,38,0.78,0,2,Center,31
51,60,39,0.73,0,2,Center,32
44,51,40,0.75,0,2,South,43
47,58,33,0.75,0,2,North,42
46,50,40,0.75,0,2,North,44
53,61,39,0.73,0,2,South,39
45,47,35,0.79,0,2,South,34
55,52,44,0.77,0,2,North,31
52,58,34,0.79,0,1,South,44
54,55,36,0.77,0,1,Center,34
47,50,42,0.73,0,2,Center,39
51,62,40,0.72,0,1,Center,47
52,60,30,0.73,0,2,Center,38
55,61,38,0.74,0,1,Center,44
44,47,39,0.74,0,1,North,38
44,47,36,0.79,0,2,Center,46
48,51,32,0.79,0,1,Center,44
55,61,35,0.71,0,2,South,36
50,58,34,0.7,0,1,Center,47
55,52,33,0.76,0,1,Center,48
53,57,36,0.77,0,2,South,30
50,49,30,0.74,0,1,North,38
44,55,45,0.77,0,2,South,42
52,60,30,0.76,0,1,Center,37
44,46,45,0.8,0,2,North,38
46,59,42,0.71,0,1,South,37
43,49,31,0.72,0,2,South,43
35,111,10,0.15,0,0,North,47
34,101,13,0.19,0,1,North,35
27,96,14,0.16,0,0,North,47
28,105,13,0.1,0,1,North,38
28,100,15,0.13,0,1,North,28
32,105,13,0.19,0,1,North,48
26,110,10,0.15,0,0,North,36
35,98,13,0.1,0,0,North,46
28,108,9,0.12,0,1,North,39
30,103,11,0.14,0,1,North,46
28,103,11,0.15,0,0,North,30
30,104,14,0.13,0,0,North,42
35,108,9,0.12,0,0,North,24
27,106,13,0.15,0,0,North,28
29,107,12,0.15,0,0,North,38
34,106,14,0.18,0,0,North,48
32,102,9,0.16,0,0,North,39
25,104,9,0.13,0,1,North,37
28,95,10,0.16,0,0,North,40
29,105,15,0.19,0,1,South,26
31,103,15,0.12,0,0,Center,41
28,98,10,0.1,0,0,Center,39
27,105,12,0.12,0,0,North,43
35,101,9,0.17,1,0,North,48
30,106,9,0.15,0,1,North,38
33,98,14,0.15,0,0,North,47
25,102,11,0.17,0,1,North,41
27,95,14,0.13,0,0,North,46
35,97,11,0.1,0,0,North,35
32,106,10,0.19,0,0,North,30
34,107,12,0.16,0,0,North,34
25,108,10,0.16,0,0,North,38
30,110,11,0.18,0,0,North,24
35,96,10,0.1,0,1,North,48
31,107,15,0.2,0,0,North,42
28,102,11,0.13,0,0,North,32
30,109,11,0.16,0,0,North,44
28,105,11,0.14,0,0,North,40
25,97,9,0.12,0,0,North,30
32,111,10,0.15,0,1,North,24
29,112,15,0.13,0,0,North,31
35,101,15,0.13,0,0,North,46
30,103,13,0.19,0,1,North,24
31,105,12,0.19,0,0,North,37
35,95,9,0.17,0,0,North,42
35,112,10,0.13,0,0,North,26
32,112,15,0.15,0,0,North,37
28,101,11,0.19,0,0,North,31
27,100,9,0.15,0,0,North,41
31,96,14,0.18,0,0,North,25
26,108,14,0.18,0,0,North,34
29,98,15,0.19,0,0,North,46
26,99,10,0.11,0,0,North,39
25,109,11,0.18,0,0,North,26
34,98,14,0.16,0,1,Center,27
32,112,12,0.18,0,0,South,43
25,111,15,0.14,0,0,South,36
30,102,15,0.18,0,0,North,38
31,100,12,0.11,0,0,North,45
26,102,11,0.2,0,0,North,28
29,112,13,0.17,0,0,North,27
35,97,10,0.11,0,0,North,26
25,96,12,0.15,0,0,North,45
26,101,9,0.16,0,0,North,29
34,97,13,0.12,0,0,North,35
26,99,12,0.13,0,1,North,25
29,100,9,0.19,0,1,North,27
34,107,9,0.16,0,0,North,32
33,95,10,0.16,0,1,North,35
32,101,11,0.16,0,0,North,31
32,102,10,0.12,0,0,North,41
26,101,15,0.13,0,0,North,39
33,100,14,0.13,0,0,North,26
33,95,15,0.72,0,0,South,26
28,104,9,0.73,0,0,North,47
27,97,14,0.77,0,0,South,19
35,99,10,0.76,0,0,Center,45
28,108,12,0.73,0,0,North,48
33,100,14,0.76,0,0,Center,30
30,109,9,0.7,0,0,Center,41
27,106,12,0.76,0,0,Center,38
29,111,9,0.75,0,1,South,16
27,103,14,0.79,0,0,North,40
33,96,11,0.78,0,0,North,15
27,103,15,0.75,0,0,North,14
33,105,12,0.7,0,0,Center,37
27,102,12,0.75,0,0,South,19
34,102,10,0.7,0,0,South,24
28,99,14,0.74,0,0,South,22
28,110,9,0.72,0,0,North,45
27,110,12,0.78,0,0,North,23
35,108,13,0.75,0,0,North,24
33,98,14,0.72,0,0,Center,14
27,106,13,0.8,0,0,North,28
34,105,9,0.73,0,0,South,25
28,100,15,0.73,0,0,Center,48
28,106,11,0.72,0,1,South,14
31,107,14,0.74,0,1,Center,48
33,101,14,0.72,0,1,Center,48
33,100,12,0.78,0,1,South,45
32,105,15,0.73,0,0,South,25
35,104,13,0.71,0,0,South,39
29,95,10,0.78,0,1,North,12
29,98,15,0.73,0,0,Center,19
27,97,14,0.77,0,0,Center,41
27,95,10,0.77,0,1,South,37
34,105,13,0.75,0,0,North,31
25,108,9,0.73,0,1,South,33
29,112,11,0.72,0,1,North,43
31,97,10,0.73,0,0,Center,34
29,98,12,0.73,1,1,Center,22
33,103,11,0.8,0,0,North,18
28,108,10,0.75,0,1,Center,38
29,104,15,0.75,0,1,South,26
31,111,14,0.72,0,1,South,44
35,105,11,0.72,0,1,South,16
30,100,9,0.78,0,0,Center,47
34,107,14,0.71,0,1,Center,47
27,110,11,0.7,0,1,South,21
28,108,9,0.75,0,0,Center,26
34,102,10,0.74,0,0,South,12
31,106,12,0.7,0,0,South,43
26,102,14,0.79,0,0,Center,19
25,106,11,0.78,0,1,South,35
30,109,10,0.8,0,0,South,38
33,104,12,0.79,0,1,North,44
29,101,11,0.78,0,1,Center,27
25,96,13,0.78,0,1,North,45
25,106,10,0.76,0,0,Center,28
27,103,9,0.74,0,0,South,25
29,98,12,0.76,0,0,South,39
26,112,14,0.75,0,1,North,24
27,108,14,0.73,0,0,Center,21
34,102,10,0.75,0,0,Center,41
32,100,15,0.72,1,0,Center,45
34,101,15,0.7,0,1,South,39
30,103,9,0.72,0,0,North,20
26,97,15,0.72,0,0,North,46
31,99,10,0.76,0,0,South,35
31,101,9,0.77,0,1,North,40
27,99,11,0.79,0,1,South,44
25,96,12,0.71,0,1,South,30
26,103,15,0.78,0,1,Center,37
29,107,9,0.75,0,0,South,32
31,96,9,0.71,0,0,Center,40
31,102,14,0.75,0,1,North,30
26,96,10,0.75,0,0,Center,47
31,103,9,0.7,0,0,North,38
34,102,13,0.73,0,1,Center,33
26,96,14,0.76,0,1,Center,32
29,105,12,0.75,0,0,South,35
35,107,11,0.7,0,0,South,36
33,101,11,0.74,0,1,North,45
25,107,11,0.74,0,1,South,47
28,103,11,0.79,0,0,South,43
35,106,15,0.74,0,0,South,36
35,106,12,0.72,0,0,South,38
29,96,15,0.76,0,1,South,45
25,109,12,0.74,0,1,Center,34
29,108,10,0.74,0,1,South,32
28,112,13,0.73,0,1,North,40
26,99,10,0.77,0,0,South,38
29,111,14,0.79,0,0,North,37
28,98,10,0.77,0,0,North,34
31,103,12,0.75,0,1,North,31
28,98,11,0.77,0,1,Center,32
32,110,10,0.79,0,0,South,36
35,99,14,0.76,0,0,North,38
34,109,14,0.74,0,1,Center,42
31,108,15,0.71,0,1,South,47
26,108,15,0.74,0,1,North,47
35,111,9,0.73,0,1,South,45
35,101,15,0.77,0,1,North,48
34,107,9,0.73,0,0,Center,31
35,111,13,0.79,0,1,Center,39
26,101,10,0.75,0,0,Center,33
32,95,10,0.77,0,0,South,39
32,102,15,0.79,0,1,North,37
32,96,10,0.77,0,0,Center,36
28,103,15,0.72,0,0,Center,42
26,108,15,0.76,0,0,South,32
25,106,15,0.75,0,1,North,48
35,104,15,0.7,0,1,South,45
25,97,15,0.76,0,1,North,35
26,97,10,0.7,0,1,South,41
27,111,14,0.72,0,0,Center,40
28,112,11,0.73,0,1,Center,37
34,106,10,0.78,1,1,South,34
27,104,15,0.72,0,1,South,37
35,97,13,0.76,0,1,South,31
32,103,9,0.76,0,0,North,38
33,112,9,0.75,0,0,North,37
28,108,9,0.76,1,0,Center,41
34,111,10,0.78,0,0,Center,36
33,112,11,0.8,0,1,South,38
25,98,11,0.77,0,1,South,46
31,97,11,0.71,0,0,South,34
33,106,14,0.73,0,1,South,48
30,106,10,0.77,0,0,Center,42
35,95,15,0.71,0,1,Center,38
28,110,15,0.72,0,1,North,40
29,106,10,0.71,0,0,North,30
25,96,15,0.76,0,0,North,48
31,109,12,0.73,0,1,South,36
28,101,13,0.77,0,1,North,45
33,100,15,0.79,0,0,South,37
20,22,9,0.21,1,3,North,35
23,23,13,0.26,0,2,South,16
22,28,10,0.25,0,2,North,22
20,24,10,0.3,1,2,North,38
24,28,11,0.25,1,3,Center,19
25,29,12,0.27,1,3,North,36
22,25,11,0.26,1,2,Center,47
24,35,9,0.25,0,3,North,26
22,35,12,0.29,0,3,Center,21
21,36,15,0.29,0,3,Center,29
20,25,13,0.29,0,2,North,26
19,22,14,0.22,0,2,North,26
25,35,10,0.27,1,3,North,32
25,30,10,0.26,1,3,North,48
22,24,14,0.23,1,2,South,44
24,28,14,0.21,1,3,North,36
21,37,12,0.27,0,2,North,20
21,30,13,0.26,0,3,North,35
21,26,9,0.22,1,3,North,32
23,26,12,0.22,0,2,South,29
24,22,10,0.25,0,3,North,39
24,35,14,0.24,1,3,North,42
23,33,14,0.27,1,3,North,15
24,31,14,0.29,1,3,North,15
22,33,12,0.26,0,3,North,46
20,37,15,0.25,1,2,North,45
25,28,9,0.28,0,2,Center,36
21,27,10,0.3,0,3,Center,15
19,26,10,0.25,0,3,North,17
20,22,13,0.26,0,3,North,12
25,24,14,0.26,0,3,North,14
22,28,10,0.22,1,3,North,23
21,27,14,0.23,0,2,North,36
19,37,10,0.22,0,2,North,43
23,27,14,0.23,0,3,Center,45
21,23,10,0.28,0,3,North,33
19,34,9,0.3,1,3,North,21
24,29,14,0.28,0,2,North,14
21,30,14,0.25,1,3,North,36
19,30,13,0.27,1,2,North,40
24,31,14,0.24,1,3,North,19
25,32,10,0.25,1,3,North,47
20,26,12,0.24,0,3,North,23
20,33,13,0.27,0,3,North,27
24,36,15,0.27,0,2,North,19
19,27,9,0.23,0,3,North,19
21,33,11,0.21,0,3,North,48
24,28,9,0.23,0,3,North,29
20,28,9,0.24,1,3,North,35
22,34,14,0.2,0,3,North,22
23,32,9,0.24,0,3,North,44
22,27,13,0.23,0,2,North,29
22,36,13,0.28,0,3,Center,45
19,29,11,0.22,0,3,Center,16
19,35,14,0.25,1,2,North,33
24,22,15,0.22,0,3,North,48
24,32,15,0.26,1,3,North,39
25,30,12,0.2,1,3,North,37
22,27,12,0.21,1,3,North,29
21,31,15,0.24,0,3,North,17
23,36,9,0.23,0,3,North,28
19,23,12,0.29,0,2,North,17
25,33,14,0.28,1,2,North,26
25,32,9,0.23,0,2,South,40
22,25,12,0.24,1,2,South,45
23,34,10,0.29,1,3,North,29
21,23,15,0.21,1,3,North,14
25,38,10,0.22,1,1,Center,32
24,24,14,0.22,0,0,North,36
21,34,9,0.27,1,2,South,47
19,26,15,0.27,1,3,Center,42
25,30,9,0.27,1,3,Center,37
20,32,14,0.25,1,3,South,25
23,28,14,0.23,1,2,North,17
21,28,14,0.22,0,2,Center,34
20,27,11,0.27,0,2,North,23
21,35,10,0.24,1,3,North,35
24,28,11,0.23,1,2,North,48
25,38,13,0.21,1,2,North,13
19,25,11,0.3,0,3,North,21
24,32,11,0.23,0,2,South,31
22,30,10,0.23,1,1,Center,35
20,26,9,0.26,1,1,North,34
20,34,15,0.26,1,2,North,41
19,25,12,0.24,1,3,Center,14
23,36,9,0.25,0,3,North,30
24,31,11,0.26,0,2,North,13
19,30,12,0.3,1,2,North,47
23,37,14,0.27,1,3,North,40
19,32,9,0.26,1,3,North,37
20,36,9,0.24,0,2,North,42
25,25,9,0.21,1,2,North,18
21,31,11,0.25,1,3,North,16
20,25,11,0.28,0,3,Center,29
23,23,10,0.27,1,2,South,44
24,35,15,0.21,1,3,South,26
21,27,14,0.22,0,1,North,33
22,29,15,0.22,1,3,South,16
20,24,15,0.24,1,3,North,22
25,32,14,0.21,0,2,Center,41
42,80,42,0.1,1,2,North,35
35,76,29,0.1,0,3,North,36
38,65,29,0.15,1,2,North,34
50,68,40,0.11,1,2,North,41
39,75,31,0.11,0,2,North,43
53,73,41,0.18,1,3,North,41
53,79,23,0.12,1,2,North,39
35,65,32,0.1,0,2,North,35
35,75,37,0.14,0,2,North,40
38,67,26,0.12,1,3,North,25
44,73,35,0.19,1,3,North,36
39,65,26,0.15,1,2,Center,46
53,80,30,0.14,0,2,North,25
54,74,31,0.14,1,3,North,32
36,69,37,0.11,1,2,North,24
35,77,26,0.19,1,3,North,36
53,78,29,0.13,0,2,North,30
35,78,23,0.16,0,2,North,29
38,78,42,0.11,0,3,North,28
41,77,25,0.14,1,2,North,32
47,78,24,0.15,0,2,North,30
38,75,34,0.14,0,2,North,39
37,70,42,0.18,0,3,North,48
34,74,24,0.11,1,3,North,34
44,66,32,0.18,1,3,North,42
43,72,38,0.13,0,2,North,29
40,66,42,0.15,1,2,North,38
44,71,33,0.12,1,2,North,33
48,65,40,0.14,0,3,North,33
32,75,34,0.11,0,3,North,32
41,68,34,0.19,1,3,North,45
45,67,32,0.19,0,2,North,25
36,80,28,0.17,1,3,North,31
50,72,29,0.15,0,2,North,36
52,76,23,0.15,0,3,North,26
37,76,29,0.17,1,3,North,27
32,73,30,0.14,0,3,North,37
37,73,29,0.19,1,2,North,27
40,65,34,0.1,1,2,South,35
34,69,35,0.19,1,2,Center,39
39,68,28,0.16,0,2,North,34
38,79,33,0.19,1,2,North,29
41,77,32,0.11,0,2,North,37
36,73,30,0.13,1,2,North,35
49,75,26,0.19,1,2,North,41
46,73,26,0.19,1,3,North,26
35,76,40,0.17,0,3,North,46
49,76,30,0.14,0,3,North,34
39,78,31,0.14,1,2,North,25
37,78,32,0.71,0,2,North,43
44,65,43,0.76,0,1,Center,46
32,72,48,0.77,0,2,Center,33
44,66,48,0.72,0,1,Center,27
53,69,46,0.75,0,1,Center,30
32,71,37,0.73,0,2,South,48
36,71,21,0.7,0,1,North,27
47,78,38,0.76,0,1,South,41
50,77,19,0.8,0,1,South,40
43,71,24,0.76,0,1,North,27
44,80,34,0.73,0,2,North,32
38,79,21,0.77,0,2,South,40
40,80,21,0.78,0,1,Center,23
34,68,45,0.79,0,2,South,45
52,79,32,0.75,0,2,South,46
54,77,47,0.73,0,2,Center,40
